Clave de articulo: ,Marca: ,Nombre: ,Descripcion: ,Disponibilidad: ,Precio: 
,,,,,
CL130004897,MAL,MAL For Men,Fragancia de verano para caballero,5,490.9
CL120004673,Belle Queen,Belle Fragrance Night,Fragancia de noche para mujer,8,459.3
CL180046182,Piel de Luna,Veneno de Abeja,Crema facial para la reduccion de arrugas,16,375.0
CL180046183,Piel de Luna,Veneno de abeja,Crema corporal para fomentar la produccion de colageno,18,289.9
CL150006428,Cinquessence,Belle Essence Day,Fragancia nocturna para dama,4,286.75
CL160017689,Klickiss,Reloj azul para infante,Reloj azul resistente para menores de edad,2,562.5
CL140048216,Beclay,Anillo para caballero,Anillo de acero inoxidable y cuero,2,275.6
CL1200007641,MAL,CL for Women,Fragancia de verano para dama,4,689.9
CL160032491,Cinquessence,Queen Essence Night,Escencia nocturna para dama,3,345.0
CL120068419,Belle Queen,Anillo de plata de primera ley,Anillo hecho de la más fina plata para dama,6,498.9
